id,S_ime,W_time,R_time,Processors,type,Max_resource,Min_resource
190849,55754385,2,9421,32,1,32,32
190850,55754483,2,75,32,1,32,32
190852,55754763,3,5734,64,1,64,64
190853,55755727,2,4569,64,1,64,64
190854,55755995,1,189,64,1,64,64
190855,55756442,2,196,32,1,32,32
190857,55756991,1,152,64,1,64,64
190858,55757327,2,8,32,1,32,32
190859,55757641,1,3932,32,1,32,32
190860,55757750,2,7439,64,1,64,64
190861,55757888,1,205,32,1,32,32
190862,55758208,1,11402,512,1,512,512
190863,55758340,18,13,64,1,64,64
190864,55758359,4,109,32,1,32,32
190865,55758643,2,19,64,1,64,64
190866,55758688,2,95,32,1,32,32
190867,55759062,2,95,32,1,32,32
190868,55759164,1,100,64,1,64,64
190869,55759246,4,2406,32,1,32,32
190870,55759548,3,93,32,1,32,32
190871,55759792,2,92,32,1,32,32
190872,55759925,1,819,128,1,128,128
190873,55760146,1,12,64,1,64,64
190874,55760496,2,6969,64,1,64,64
190875,55760636,3,13,64,1,64,64
190876,55760893,2,316,32,1,32,32
190877,55761084,2,144,32,1,32,32
190878,55761543,1,836,128,1,128,128
190879,55761770,2,1826,64,1,64,64
190880,55761790,2,145,32,1,32,32
190881,55761967,1,311,32,1,32,32
190882,55762293,1,71,128,1,128,128
190883,55762582,4,3694,32,1,32,32
190884,55762611,1,11,64,1,64,64
190885,55762712,1,12,64,1,64,64
190886,55763574,1,23,64,1,64,64
190887,55763595,1,32,64,1,64,64
190888,55763851,2,295,32,1,32,32
190889,55763937,1,17,64,1,64,64
190890,55764150,2,2186,64,1,64,64
190891,55764168,1,70,128,1,128,128
190892,55764378,1,342,32,1,32,32
190893,55764508,1,13,64,1,64,64
190894,55764728,2,371,128,1,128,128
190895,55764731,1,21,64,1,64,64
190896,55765128,1,8109,64,1,64,64
190897,55765472,2,93,32,1,32,32
190898,55765954,2,106,32,1,32,32
190899,55766075,2,16,64,1,64,64
190900,55766232,2,179,32,1,32,32
190901,55766257,2,9,64,1,64,64
190902,55766326,2,3701,32,1,32,32
190903,55766610,2,110,32,1,32,32
190904,55766844,2,13,64,1,64,64
190905,55767080,1,98,32,1,32,32
190906,55767391,3,14,64,1,64,64
190907,55767464,1,6414,64,1,64,64
190908,55767765,2,495,32,1,32,32
190909,55768029,3,14,64,1,64,64
190910,55768053,1,1217,128,1,128,128
190911,55768196,1,13,64,1,64,64
190912,55769178,2,13,64,1,64,64
190913,55769384,2,224,32,1,32,32
190914,55769438,1,658,128,1,128,128
190915,55769772,2,18,64,1,64,64
190916,55770033,3,392,32,1,32,32
190917,55770063,2,3681,32,1,32,32
190918,55770439,2,13,64,1,64,64
190919,55771062,1,17,64,1,64,64
190920,55771365,1,94,32,1,32,32
190921,55771840,1,244,32,1,32,32
190922,55772728,1,214,32,1,32,32
190923,55773176,41242,7574,64,1,64,64
190924,55773518,2,12,32,1,32,32
190925,55773702,2,40,32,1,32,32
190926,55773770,0,30,32,1,32,32
190927,55773770,1,175,32,1,32,32
190928,55773800,2,4595,32,1,32,32
190929,55773875,40536,6640,64,1,64,64
190930,55774136,1,1709,32,1,32,32
190931,55774956,4,7346,512,1,512,512
190932,55775568,4,11,256,1,256,256
190933,55775620,1,164,32,1,32,32
190934,55778439,2,3842,32,1,32,32
190935,55778694,1,444,32,1,32,32
190936,55780121,1,45,32,1,32,32
190937,55780165,1,39,32,1,32,32
190938,55780202,2,31,32,1,32,32
190939,55781375,952,9018,512,1,512,512
190940,55782290,6,6546,32,1,32,32
190941,55783017,2,14434,32,1,32,32
190942,55783787,2,619,32,1,32,32
190943,55785852,0,73,32,1,32,32
190944,55785864,67,12782,32,1,32,32
190945,55785940,0,61,32,1,32,32
