S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource
32775732,3,2259,64,74032,1,64,64
32775769,5,95,128,74033,1,128,128
32775888,2,99,128,74034,1,128,128
32776514,13,5722,128,74035,1,128,128
32776540,2,563,32,74036,1,32,32
32776581,6,116,32,74037,1,32,32
32776629,2,1426,128,74038,1,128,128
32776740,2,102,64,74039,1,64,64
32776787,12013,15,128,74040,1,128,128
32776818,6,108,128,74041,1,128,128
32777038,1,1016,128,74042,1,128,128
32777273,2,11,32,74043,1,32,32
32777563,6,36,64,74044,1,64,64
32777595,463,4230,128,74045,1,128,128
32777781,26,13,64,74046,1,64,64
32778079,124,10322,128,74047,1,128,128
32778092,3,64,64,74048,1,64,64
32778201,13,154,64,74049,1,64,64
32778294,2,2241,128,74050,1,128,128
32778451,2,451,64,74051,1,64,64
32778544,5,472,64,74052,1,64,64
32778586,11,1386,32,74053,1,32,32
32779097,2,6114,64,74054,1,64,64
32779102,3,624,64,74055,1,64,64
32780344,1,1536,64,74056,1,64,64
32780367,3,780,64,74057,1,64,64
32781348,2,22,32,74058,1,32,32
32782314,2,1204,64,74059,1,64,64
32782621,2,9,32,74060,1,32,32
32782787,2,10,32,74061,1,32,32
32782793,1,5473,128,74062,1,128,128
32782996,2,8,32,74063,1,32,32
32783007,6,486,64,74064,1,64,64
32783861,2,655,128,74065,1,128,128
32783942,1,9607,256,74066,1,256,256
32784550,2,9,32,74067,1,32,32
32784845,1,666,128,74068,1,128,128
32784993,25297,11869,256,74069,1,256,256
32785613,2,10,32,74070,1,32,32
32785737,2,8,32,74071,1,32,32
32785910,3,664,128,74072,1,128,128
32786051,2,9,32,74073,1,32,32
32786282,2,12935,32,74074,1,32,32
32786395,1,10,32,74075,1,32,32
32786496,1,7,32,74076,1,32,32
32786670,2,7,32,74077,1,32,32
32786791,2,6,32,74078,1,32,32
32786890,4,6,32,74079,1,32,32
32787135,2,9,32,74080,1,32,32
32787604,1,676,128,74081,1,128,128
32788354,2,309,128,74082,1,128,128
32788485,2,11,32,74083,1,32,32
32788605,2,8,32,74084,1,32,32
32788718,1,9,32,74085,1,32,32
32788865,1,11,32,74086,1,32,32
32789147,1,278,64,74087,1,64,64
32789164,2,9,32,74088,1,32,32
32789365,2,9,32,74089,1,32,32
32789470,2,10,32,74090,1,32,32
32789570,1,12,32,74091,1,32,32
32789730,4,278,64,74092,1,64,64
32790218,2,12,32,74093,1,32,32
32790473,2,10,32,74094,1,32,32
32790837,2,13,32,74095,1,32,32
32791724,2,272,64,74096,1,64,64
32791993,22446,3670,512,74097,1,512,512
32792089,2,125,128,74098,1,128,128
32792206,2,13,32,74099,1,32,32
32792304,4,273,64,74100,1,64,64
32792596,1,12,32,74101,1,32,32
32792881,2,9,32,74102,1,32,32
32793260,82266,21223,512,74103,1,512,512
32793320,0,20,512,74104,1,512,512
32793339,2,126,128,74105,1,128,128
32793350,0,90,128,74106,1,128,128
32793648,2,10602,128,74107,1,128,128
32793658,0,30,128,74108,1,128,128
32793832,17085,1810,32,74109,1,32,32
32794043,1,217,64,74110,1,64,64
32794283,2,213,64,74111,1,64,64
32794757,2,21248,64,74112,1,64,64
32796199,2,1516,32,74113,1,32,32
32797343,1,2816,32,74114,1,32,32
32798454,3,7458,32,74115,1,32,32
32798984,2,295,32,74116,1,32,32
32799436,2,3,32,74117,1,32,32
32799519,4,1,32,74118,1,32,32
32799554,2,1,32,74119,1,32,32
32799636,2,1,32,74120,1,32,32
32799814,2,2,32,74121,1,32,32
32799853,2,1,32,74122,1,32,32
32799875,2,1,32,74123,1,32,32
32799956,46127,77,128,74124,1,128,128
32800175,1,1,32,74125,1,32,32
32800428,1,2,32,74126,1,32,32
32804191,62,10838,128,74127,1,128,128
32810663,2,1882,32,74128,1,32,32
32812787,2,9430,32,74129,1,32,32
32815026,67,10708,128,74130,1,128,128
32830132,15908,102,128,74131,1,128,128
32831495,44035,22117,32,74132,1,32,32
32836142,10001,3594,32,74133,1,32,32
32837496,8611,4392,128,74134,1,128,128
32838447,7613,9532,256,74135,1,256,256
32838952,7016,11263,512,74136,1,512,512
32840096,6000,3205,64,74137,1,64,64
32841860,4190,3947,128,74138,1,128,128
32846146,1,54,64,74139,1,64,64
32846202,2,51,32,74140,1,32,32
32846256,1,46,32,74141,1,32,32
32846305,1,382,128,74142,1,128,128
32846509,4,752,32,74143,1,32,32
32846689,2,323,64,74144,1,64,64
32847016,1,432,32,74145,1,32,32
32847434,2,36,64,74146,1,64,64
32847451,1,455,32,74147,1,32,32
32847525,2,1209,32,74148,1,32,32
32847622,2,6265,32,74149,1,32,32
32847716,5,920,128,74150,1,128,128
32847845,1,191,64,74151,1,64,64
32848365,2,115,128,74152,1,128,128
32848423,2,427,64,74153,1,64,64
32848705,2,30,64,74154,1,64,64
32848913,4,650,128,74155,1,128,128
32849311,3,193,64,74156,1,64,64
32849886,3,47,64,74157,1,64,64
32850517,4,3492,128,74158,1,128,128
32850560,3,4016,32,74159,1,32,32
32850726,4867,12528,256,74160,1,256,256
32850761,2,12,32,74161,1,32,32
32850842,2,6391,32,74162,1,32,32
32850922,1,1010,64,74163,1,64,64
32851075,2,10,32,74164,1,32,32
32851449,4,9,32,74165,1,32,32
32851671,2,11,32,74166,1,32,32
32851747,2,630,32,74167,1,32,32
32851856,1,7,32,74168,1,32,32
32852023,2,12,32,74169,1,32,32
32852033,1,68,128,74170,1,128,128
32852232,2,10,32,74171,1,32,32
32852325,2,75,128,74172,1,128,128
32852549,9,8,32,74173,1,32,32
32852738,2,7,32,74174,1,32,32
32852750,2,62,128,74175,1,128,128
32852778,1,300,64,74176,1,64,64
32852841,2,58,128,74177,1,128,128
32852888,1,7,32,74178,1,32,32
32853028,2,7,32,74179,1,32,32
32853278,1,8132,128,74180,1,128,128
32853309,1,2438,64,74181,1,64,64
32853534,5,333,64,74182,1,64,64
32853607,0,172,64,74183,1,64,64
32853924,1,84,64,74184,1,64,64
32854123,2,1130,64,74185,1,64,64
32854150,4,6704,128,74186,1,128,128
32854255,4,467,128,74187,1,128,128
32854263,1,2579,64,74188,1,64,64
32854334,0,25,64,74189,1,64,64
32854435,2,24,128,74190,1,128,128
32854642,3,104,32,74191,1,32,32
32854658,2,6038,32,74192,1,32,32
32854876,1,73,128,74193,1,128,128
32854927,1,829,128,74194,1,128,128
32855147,25,16,32,74195,1,32,32
32855309,2,13,32,74196,1,32,32
32855333,7,763,128,74197,1,128,128
32855422,7,102,128,74198,1,128,128
32855530,16652,10255,256,74199,1,256,256
32855750,1,5663,128,74200,1,128,128
32856293,1,16,32,74201,1,32,32
32856311,1,103,128,74202,1,128,128
32856651,2,11,32,74203,1,32,32
32856673,3,3508,32,74204,1,32,32
32856925,4491,113,128,74205,1,128,128
